id,xpos,ypos,type
h_0,0.10717137480930984,0.3189002673157358,house
h_1,0.5781696118527676,0.49672385772986827,house
h_2,0.6038856274522603,0.8801174374607434,house
h_3,0.6028216538286758,0.8492884181797307,house
h_4,0.7117436001763512,0.5373096571935063,house
h_5,0.6955447824033356,0.5511451582522038,house
h_6,0.5705730202354157,0.49093860029185593,house
h_7,0.5473049830021821,0.4343016330099873,house
h_8,0.6681502410956851,0.5489977095419905,house
h_9,0.5079556233565022,0.804702190925078,house
h_10,0.563365610390843,0.5272485253841083,house
h_11,0.5791713186882577,0.5769226886166045,house
h_12,0.7096162453180729,0.5644431027390859,house
h_13,0.5810775997673135,0.7086359078957831,house
h_14,0.20033335905548488,0.28883327415584276,house
h_15,0.6223143320141548,0.4201470627338518,house
h_16,0.5860746980349055,0.5667969776013894,house
h_17,0.5380362919740967,0.6544654546478672,house
h_18,0.5490998237043462,0.43514798559087675,house
h_19,0.3965061406684987,0.8678542203621873,house
h_20,0.5897270258100568,0.7429360661221357,house
h_21,0.6325977194346687,0.7791068308621638,house
h_22,0.6275059210409185,0.8734600410748788,house
h_23,0.5794008322104622,0.5237798344801574,house
h_24,0.6885334898144508,0.6236899844097172,house
h_25,0.5248056211093474,0.9191016423055747,house
h_26,0.49202934516734853,0.8592149795931157,house
h_27,0.621168300023151,0.8722975541161624,house
h_28,0.6437469652810343,0.6890763452987706,house
h_29,0.6261146297692334,0.7055204053062661,house
h_30,0.5177584531886557,0.8743267966903893,house
h_31,0.5710166778459084,0.4903161714956453,house
h_32,0.7093292257039449,0.562729769228423,house
h_33,0.058493882415482285,0.7258789778220853,house
h_34,0.5866342963310321,0.4957390598433507,house
h_35,0.5225112793146903,0.890651314433607,house
h_36,0.6741835493004567,0.26679106987277323,house
h_37,0.6269261042221911,0.9292347012994226,house
h_38,0.5555473772311473,0.5306988485292233,house
h_39,0.8013681017647358,0.31510122489724474,house
h_40,0.5308731086800386,0.5604954647053927,house
h_41,0.10980096992289406,0.3067022879032693,house
h_42,0.0581795445596664,0.6930633307559475,house
h_43,0.7088800234413326,0.6316152599307417,house
h_44,0.6541767823965522,0.3918216101821807,house
h_45,0.4827010631162171,0.8741035382962589,house
h_46,0.6526336512986726,0.5001731008567823,house
h_47,0.5374531510622252,0.33427569022673026,house
h_48,0.5486120262260404,0.5108188904478723,house
h_49,0.5167314666967415,0.4835628049360236,house
h_50,0.641565173001241,0.39921103549245845,house
h_51,0.6858981284168412,0.5663276079704281,house
h_52,0.19934179563780435,0.29270230175727124,house
h_53,0.5616883425240558,0.4922724414572765,house
h_54,0.07659383341148801,0.6746477284597081,house
h_55,0.6227085423257976,0.8738119780578253,house
h_56,0.6278855799652174,0.2659308837477101,house
h_57,0.4937822441981721,0.8869095605375943,house
h_58,0.16483940474989328,0.3304387950302756,house
h_59,0.5128189299190165,0.8395430137380812,house
h_60,0.5575993452064143,0.5871991221214137,house
h_61,0.5917517546887094,0.6679969512202273,house
h_62,0.6314181412383442,0.9090185025003577,house
h_63,0.650389393768512,0.42469408855363594,house
h_64,0.501531079461474,0.6618731664616705,house
h_65,0.5365330895665026,0.5618647341937493,house
h_66,0.6020858684490142,0.8459014983130382,house
h_67,0.1742017130951454,0.32446806680238116,house
h_68,0.6277948797093786,0.8841532943646813,house
h_69,0.05536455210812617,0.7092166299870865,house
h_70,0.8711609197449167,0.3086158431428722,house
h_71,0.5941241113492045,0.7230768990128744,house
h_72,0.26371004410359317,0.8676178871581672,house
h_73,0.5637919196835781,0.5167561107991866,house
h_74,0.8945969070670049,0.2951112638530526,house
h_75,0.5583134975989389,0.5431133976712367,house
h_76,0.5302816311536118,0.796188166192814,house
h_77,0.4063364677609619,0.340932118320223,house
h_78,0.6252716555764632,0.9143307175291355,house
h_79,0.540001543328959,0.32281849905919924,house
h_80,0.5790778675414854,0.697084449755615,house
h_81,0.5348388248600161,0.771783966761705,house
h_82,0.600162643128922,0.6704325785942131,house
h_83,0.617064808792565,0.4099344101189754,house
h_84,0.8960475938907907,0.2539635925101286,house
h_85,0.2719948713991472,0.3489297205308982,house
h_86,0.6549847847894853,0.5430996310816946,house
h_87,0.6282255872069921,0.9245978924450069,house
h_88,0.896109162163642,0.5703356922669452,house
h_89,0.6140839452236949,0.47967603027602057,house
h_90,0.3495143856066768,0.9036527930500805,house
h_91,0.6090143865959895,0.9488813357130479,house
h_92,0.5778652707736741,0.9337006587143658,house
h_93,0.39535291778211945,0.32652494294707335,house
h_94,0.47872470148880475,0.8724363625313467,house
h_95,0.597179778320298,0.7168037954672553,house
h_96,0.5685448188666017,0.33601118273255975,house
h_97,0.5888097253468042,0.42654236773820364,house
h_98,0.5378886411836493,0.35491090631489697,house
h_99,0.701987104527662,0.5991483485974527,house
h_100,0.5489215776892303,0.5084870441381686,house
h_101,0.6484856974956514,0.39717605764884983,house
h_102,0.7030316520940799,0.6615468959940377,house
h_103,0.7241363590495473,0.5478113430072707,house
h_104,0.49388968929056987,0.9051028181102673,house
h_105,0.5451370298040552,0.3157907085508669,house
h_106,0.2865044362227776,0.8470801408552605,house
h_107,0.29080574491486016,0.8529687727991518,house
h_108,0.6197071236503295,0.858548549315779,house
h_109,0.5862141151283843,0.7609703971465013,house
h_110,0.5108670324967888,0.33547059804686047,house
h_111,0.5840321419455601,0.5121172461857798,house
h_112,0.07384567897570399,0.294829654679505,house
h_113,0.5322034582440478,0.5690958660700483,house
h_114,0.6360735336890909,0.9091527078031779,house
h_115,0.4886032279318796,0.857913602859766,house
h_116,0.10668605721001978,0.32118081896509115,house
h_117,0.6356948245056904,0.38942452828716617,house
h_118,0.5660828869409782,0.8358449716472092,house
h_119,0.7027213374462389,0.6555605782610906,house
h_120,0.6274649238921177,0.2652788879000019,house
h_121,0.5899166008773221,0.5380813021355797,house
h_122,0.620430588779999,0.9408173384491403,house
h_123,0.6178137473299143,0.41426535780370577,house
h_124,0.4467954943800517,0.32234250766071515,house
h_125,0.5843990811256813,0.42233689285009907,house
h_126,0.5691906031052579,0.444830097859435,house
h_127,0.6416360124988696,0.3014293794049166,house
h_128,0.35691856565380653,0.9038636424070821,house
h_129,0.5404783132601643,0.6515288924621475,house
h_130,0.5558750378412386,0.4193350659061156,house
h_131,0.1355261267785402,0.2109375757641953,house
h_132,0.2172560798257233,0.30820763969162146,house
h_133,0.3536044447874074,0.9004543897491677,house
h_134,0.8938678791692141,0.30982342148442366,house
h_135,0.604973212689857,0.5322971265779285,house
h_136,0.26471724432678195,0.8677245631680442,house
h_137,0.20812954465859684,0.3412759514420083,house
h_138,0.5696505019446594,0.5495821856277557,house
h_139,0.10802804110003726,0.32345824228600617,house
h_140,0.5215653240963836,0.8970832458231549,house
h_141,0.4860267886292269,0.8360787024943915,house
h_142,0.0819555165106506,0.3203893517946417,house
h_143,0.6054458406954731,0.5318666337845253,house
h_144,0.322531771801005,0.23183543739505885,house
h_145,0.5602764085208719,0.43106224860244824,house
h_146,0.6905989501405809,0.5574392439455734,house
h_147,0.46183830830794387,0.34922293431418194,house
h_148,0.5417155882160889,0.33379705592988745,house
h_149,0.5373669620756574,0.5521676189821307,house
h_150,0.06976179311081769,0.27927591703051247,house
h_151,0.09423186736868402,0.2623181854443071,house
h_152,0.6466857010571796,0.8637425135183944,house
h_153,0.2607317094083033,0.34851128918251306,house
h_154,0.6185652976547353,0.9217095065218266,house
h_155,0.8722358681522193,0.2938805197405425,house
h_156,0.5227884392789078,0.9267397548537589,house
h_157,0.6096685997851214,0.6674148586229669,house
h_158,0.7046031058223371,0.1928755441337114,house
h_159,0.44990187989339253,0.8799616466897393,house
h_160,0.44867968207423453,0.3514061055591852,house
h_161,0.5149659662044862,0.8567214265715932,house
h_162,0.570536154176867,0.7915129782068416,house
h_163,0.6005852778288918,0.47193466798268524,house
h_164,0.5893863062626071,0.4304636205534627,house
h_165,0.07106602480011016,0.2589308310874762,house
h_166,0.6080965411623656,0.47622047835274217,house
h_167,0.7228213564350602,0.5331543834497499,house
h_168,0.5435580855597826,0.3241011138414758,house
h_169,0.541957124594674,0.8831249273907316,house
h_170,0.5697489056544547,0.5127998177228266,house
h_171,0.5218546404594708,0.429088273169263,house
h_172,0.5909487533841267,0.7438140498647269,house
h_173,0.5818915277175959,0.5243438721514817,house
h_174,0.541268735123199,0.31577600540569645,house
h_175,0.6069484099424685,0.527523644516929,house
h_176,0.8934864957153879,0.2996082756150658,house
h_177,0.5456629488267731,0.31302057345407136,house
h_178,0.5630342374998599,0.555719619018263,house
h_179,0.2738608748300859,0.8385482051995539,house
h_180,0.5430677818207724,0.30676391597938074,house
h_181,0.537635479729778,0.48280734514529144,house
h_182,0.09435873692375063,0.3236534152400386,house
h_183,0.6320319112942007,0.8793187751342697,house
h_184,0.1658392444811136,0.34818361412689164,house
h_185,0.6241686634309508,0.6825535365670479,house
h_186,0.1739255420095013,0.23572582701279066,house
h_187,0.6439164940314724,0.8777086243329937,house
h_188,0.5301304112971692,0.3442444225809323,house
h_189,0.6417593950150458,0.8781237535564386,house
h_190,0.24298188114840627,0.24480244939211102,house
h_191,0.8926557507620847,0.7467967691189067,house
h_192,0.7089495272071079,0.5685468443766828,house
h_193,0.5882937311164802,0.49624897742748747,house
h_194,0.5958192405634338,0.9411489412953902,house
h_195,0.6617946541459153,0.5595381961118183,house
h_196,0.5158351487234872,0.9266333916766704,house
h_197,0.26430226151655123,0.8282784280831085,house
h_198,0.6247590329263296,0.8533783604117561,house
h_199,0.564670147353997,0.5082264990448612,house
h_200,0.5784014673496884,0.48878603639191326,house
h_201,0.6177219493216101,0.505173331452565,house
h_202,0.25158541435414533,0.30450275996813425,house
h_203,0.4810898276813861,0.8535235148650624,house
h_204,0.6487423649735558,0.396370512998918,house
h_205,0.6230321665370646,0.488354014193223,house
h_206,0.5338021096119723,0.33552670888870206,house
h_207,0.6005310994276181,0.41277942196740125,house
h_208,0.6497029751293213,0.7690290588718433,house
h_209,0.7091040296997555,0.5550971312555375,house
h_210,0.8935688690762377,0.5749593621407997,house
h_211,0.4528901472955792,0.3364889480491258,house
h_212,0.5370245804816369,0.5577522332357412,house
h_213,0.6325419221568599,0.8836984353664309,house
h_214,0.6085768726219382,0.48678109050422247,house
h_215,0.54243204900663,0.5474287484027184,house
h_216,0.5992978512771713,0.7891381297912873,house
h_217,0.5831945722307642,0.48961066384705443,house
h_218,0.5539167060272094,0.5040474987559875,house
h_219,0.5699686651457623,0.510350162525406,house
h_220,0.7094685606083091,0.5636200394483316,house
h_221,0.1442152723424433,0.20100763468632224,house
h_222,0.20489211536977717,0.30457721419201844,house
h_223,0.22947164726623054,0.24157736591593496,house
h_224,0.1651119803878509,0.3480647376348188,house
h_225,0.1587266348899209,0.32471145077805297,house
h_226,0.6111661220115716,0.6825541649065556,house
h_227,0.4081037081885915,0.33398066565392703,house
h_228,0.6047844516862189,0.533807935562085,house
h_229,0.18348329346400155,0.33031115921790277,house
h_230,0.058815739053413744,0.6867034384330534,house
h_231,0.5895018015397673,0.5449120079334931,house
h_232,0.5824877011851319,0.31470882819583795,house
h_233,0.6193226764489984,0.9196806810581325,house
h_234,0.6406068505150224,0.25294392493082113,house
h_235,0.5805374346311131,0.8550573791353437,house
h_236,0.5235259130868365,0.9245325103743224,house
h_237,0.1949853680542769,0.3383763035355533,house
h_238,0.7226984513287478,0.6619452886586868,house
h_239,0.5257442703912333,0.24296196421503888,house
h_240,0.8918933678405866,0.19201637099119617,house
h_241,0.6062643670893111,0.709010069614206,house
h_242,0.6094877796706656,0.5347770222864222,house
h_243,0.5972381966362977,0.4965277683967764,house
h_244,0.5392189568283394,0.7562027720121223,house
h_245,0.6306058244556592,0.3321353323950192,house
h_246,0.5495172009100563,0.49513466673131046,house
h_247,0.6551877815833369,0.8618598852842276,house
h_248,0.6336711344061448,0.4148934256608032,house
h_249,0.6518949933586632,0.6830732509002886,house
h_250,0.6401865510296258,0.5189141763466021,house
h_251,0.5772143025326153,0.4218882011283774,house
h_252,0.683486261404312,0.5562030848449996,house
h_253,0.4398898300557387,0.3577838293559125,house
h_254,0.5381388639911671,0.33075538189856657,house
h_255,0.5440840045825005,0.321330978744458,house
h_256,0.12371787946600771,0.17166422396333075,house
h_257,0.26901885829272076,0.28542933965677725,house
h_258,0.09081475237814511,0.26786262674300404,house
h_259,0.12195575394587775,0.3415268434068262,house
h_260,0.5635445347923148,0.5390948359560184,house
h_261,0.5842804313519647,0.47105547353626187,house
h_262,0.4113968907857328,0.8638766050636247,house
h_263,0.5610391352609115,0.4186876973780752,house
h_264,0.5145564521133622,0.8112072092619644,house
h_265,0.5341573127081278,0.380638773444827,house
h_266,0.5577621730071767,0.5824241106552384,house
