id,start,end,maxspeed,junction
l_141,n_id6147,n_id6146,20 mph,None
l_142,n_id6146,n_id1394,20 mph,None
l_143,n_id1394,n_id2573,20 mph,None
l_144,n_id1395,n_id5676,20 mph,None
l_145,n_id697,n_id5992,20 mph,None
l_146,n_id5992,n_id698,20 mph,None
l_147,n_id698,n_id5698,20 mph,None
l_148,n_id5698,n_id1119,20 mph,None
l_149,n_id500,n_id9183,20 mph,None
l_150,n_id9183,n_id9190,20 mph,None
l_151,n_id9190,n_id2580,20 mph,None
l_152,n_id5946,n_id3041,20 mph,None
l_153,n_id127,n_id8563,30 mph,None
l_154,n_id8563,n_id1705,30 mph,None
l_155,n_id1705,n_id4783,30 mph,None
l_156,n_id4783,n_id1697,30 mph,None
l_157,n_id1697,n_id3847,30 mph,None
l_158,n_id115,n_id4859,70 mph,None
l_159,n_id123,n_id8561,30 mph,None
l_160,n_id8561,n_id6120,30 mph,None
l_161,n_id6120,n_id3837,30 mph,None
l_162,n_id3837,n_id3130,30 mph,None
l_163,n_id4449,n_id4458,30 mph,None
l_164,n_id4458,n_id2827,30 mph,None
l_165,n_id2827,n_id468,30 mph,None
l_166,n_id114,n_id7920,70 mph,None
l_167,n_id7920,n_id1401,70 mph,None
l_168,n_id1401,n_id113,70 mph,None
l_169,n_id113,n_id9767,70 mph,None
l_170,n_id9767,n_id9769,70 mph,None
l_171,n_id9769,n_id1402,70 mph,None
l_172,n_id1402,n_id2907,70 mph,None
l_173,n_id2907,n_id4881,70 mph,None
l_174,n_id4881,n_id9773,70 mph,None
l_175,n_id9773,n_id7141,70 mph,None
l_176,n_id7141,n_id2984,70 mph,None
l_177,n_id2984,n_id111,70 mph,None
l_178,n_id111,n_id9771,70 mph,None
l_179,n_id9771,n_id109,70 mph,None
l_180,n_id2593,n_id9708,20 mph,None
l_181,n_id9708,n_id4475,20 mph,None
l_182,n_id4475,n_id9716,20 mph,None
l_183,n_id9716,n_id9470,20 mph,None
l_184,n_id40,n_id1647,70 mph,None
l_185,n_id1647,n_id39,70 mph,None
l_186,n_id39,n_id1432,70 mph,None
l_187,n_id2953,n_id1684,70 mph,None
l_188,n_id1684,n_id4329,70 mph,None
l_189,n_id4329,n_id4333,70 mph,None
l_190,n_id4333,n_id8,70 mph,None
l_191,n_id8,n_id4330,70 mph,None
l_192,n_id4330,n_id1682,70 mph,None
l_193,n_id1682,n_id5010,70 mph,None
l_194,n_id5010,n_id4319,70 mph,None
l_195,n_id4319,n_id1680,70 mph,None
l_196,n_id1680,n_id4326,70 mph,None
l_197,n_id4326,n_id5009,70 mph,None
l_198,n_id5009,n_id7,70 mph,None
l_199,n_id7,n_id2946,70 mph,None
l_200,n_id4,n_id8985,50 mph,None
l_201,n_id8985,n_id8986,50 mph,None
l_202,n_id8986,n_id4240,50 mph,None
l_203,n_id4240,n_id1667,50 mph,None
l_204,n_id1667,n_id8383,50 mph,None
l_205,n_id68,n_id8988,50 mph,None
l_206,n_id8988,n_id8984,50 mph,None
l_207,n_id8984,n_id8983,50 mph,None
l_208,n_id8983,n_id1666,50 mph,None
l_209,n_id1666,n_id1664,50 mph,None
l_210,n_id1664,n_id8982,50 mph,None
l_211,n_id8982,n_id61,50 mph,None
l_212,n_id1100,n_id42,50 mph,None
l_213,n_id42,n_id1648,50 mph,None
l_214,n_id696,n_id7938,20 mph,None
l_215,n_id7938,n_id694,20 mph,None
l_216,n_id694,n_id695,20 mph,None
l_217,n_id695,n_id7939,20 mph,None
l_218,n_id7939,n_id2200,20 mph,None
l_219,n_id2200,n_id9255,20 mph,None
l_220,n_id9255,n_id9256,20 mph,None
l_221,n_id9256,n_id7795,20 mph,None
l_222,n_id18,n_id5086,20 mph,None
l_223,n_id5086,n_id9641,20 mph,None
l_224,n_id9641,n_id2990,20 mph,None
l_225,n_id2990,n_id5085,20 mph,None
l_226,n_id5085,n_id680,20 mph,None
l_227,n_id680,n_id2991,20 mph,None
l_228,n_id680,n_id5995,20 mph,None
l_229,n_id5995,n_id9436,20 mph,None
l_230,n_id9436,n_id676,20 mph,None
l_231,n_id676,n_id677,20 mph,None
l_232,n_id677,n_id2073,20 mph,None
l_233,n_id2073,n_id6077,20 mph,None
l_234,n_id6077,n_id5023,20 mph,None
l_235,n_id2073,n_id2468,20 mph,None
l_236,n_id2468,n_id4959,20 mph,None
l_237,n_id4959,n_id9433,20 mph,None
l_238,n_id9433,n_id678,20 mph,None
l_239,n_id678,n_id4961,20 mph,None
l_240,n_id4961,n_id9434,20 mph,None
l_241,n_id9434,n_id679,20 mph,None
l_242,n_id679,n_id4960,20 mph,None
l_243,n_id4960,n_id677,20 mph,None
l_244,n_id18,n_id4270,20 mph,None
l_245,n_id4270,n_id9640,20 mph,None
l_246,n_id9640,n_id5087,20 mph,None
l_247,n_id5087,n_id4269,20 mph,None
l_248,n_id4269,n_id2992,20 mph,None
l_249,n_id2992,n_id2982,20 mph,None
l_250,n_id2080,n_id353,20 mph,None
l_251,n_id353,n_id2884,20 mph,None
l_252,n_id2884,n_id2792,20 mph,None
l_253,n_id2792,n_id7571,20 mph,None
l_254,n_id7571,n_id2795,20 mph,None
l_255,n_id2795,n_id2647,20 mph,None
l_256,n_id2647,n_id2840,20 mph,None
l_257,n_id2840,n_id2082,20 mph,None
l_258,n_id2082,n_id2078,20 mph,None
l_259,n_id2078,n_id2844,20 mph,None
l_260,n_id2844,n_id2611,20 mph,None
l_261,n_id2611,n_id339,20 mph,None
l_262,n_id339,n_id2612,20 mph,None
l_263,n_id2612,n_id2608,20 mph,None
l_264,n_id684,n_id9173,20 mph,None
l_265,n_id9173,n_id5948,20 mph,None
l_266,n_id21,n_id9182,20 mph,None
l_267,n_id9182,n_id3085,20 mph,None
l_268,n_id3085,n_id5375,20 mph,None
l_269,n_id5375,n_id4934,20 mph,None
l_270,n_id4934,n_id4935,20 mph,None
l_271,n_id4935,n_id813,20 mph,None
l_272,n_id813,n_id1932,20 mph,None
l_273,n_id1932,n_id20,20 mph,None
l_274,n_id20,n_id500,20 mph,None
l_275,n_id500,n_id9175,20 mph,None
l_276,n_id9175,n_id19,20 mph,None
l_277,n_id21,n_id7279,20 mph,None
l_278,n_id7279,n_id2622,20 mph,None
l_279,n_id2622,n_id3066,20 mph,None
l_280,n_id3066,n_id22,20 mph,None
l_281,n_id22,n_id6041,20 mph,None
l_282,n_id6041,n_id7800,20 mph,None
l_283,n_id9652,n_id1121,20 mph,None
l_284,n_id1121,n_id6772,20 mph,None
l_285,n_id6772,n_id2981,20 mph,None
l_286,n_id342,n_id4469,30 mph,None
l_287,n_id4469,n_id9613,30 mph,None
l_288,n_id9613,n_id3616,30 mph,None
l_289,n_id3616,n_id3623,30 mph,None
l_290,n_id787,n_id3073,20 mph,None
l_291,n_id3073,n_id2372,20 mph,None
l_292,n_id2372,n_id924,20 mph,None
l_293,n_id924,n_id5712,20 mph,None
l_294,n_id5712,n_id595,20 mph,None
l_295,n_id595,n_id2834,20 mph,None
l_296,n_id2834,n_id9629,20 mph,None
l_297,n_id9629,n_id9632,20 mph,None
l_298,n_id9632,n_id925,20 mph,None
l_299,n_id925,n_id2376,20 mph,None
l_300,n_id744,n_id6798,30 mph,None
l_301,n_id6798,n_id3270,30 mph,None
l_302,n_id3270,n_id3271,30 mph,None
l_303,n_id3271,n_id5397,30 mph,None
l_304,n_id5397,n_id3635,30 mph,None
l_305,n_id3635,n_id907,30 mph,None
l_306,n_id907,n_id736,30 mph,None
l_307,n_id736,n_id4865,30 mph,None
l_308,n_id795,n_id3251,30 mph,None
l_309,n_id3251,n_id4092,30 mph,None
l_310,n_id4092,n_id131,30 mph,None
l_311,n_id131,n_id132,30 mph,None
l_312,n_id132,n_id4089,30 mph,None
l_313,n_id4089,n_id2865,30 mph,None
l_314,n_id2865,n_id4095,30 mph,None
l_315,n_id4095,n_id133,30 mph,None
l_316,n_id133,n_id134,30 mph,None
l_317,n_id134,n_id9589,30 mph,None
l_318,n_id9589,n_id3127,30 mph,None
l_319,n_id3127,n_id4100,30 mph,None
l_320,n_id4100,n_id6352,30 mph,None
l_321,n_id6352,n_id135,30 mph,None
l_322,n_id135,n_id6355,30 mph,None
l_323,n_id6355,n_id7040,30 mph,None
l_324,n_id7040,n_id790,30 mph,None
l_325,n_id790,n_id136,30 mph,None
l_326,n_id136,n_id2864,30 mph,None
l_327,n_id582,n_id2653,30 mph,None
l_328,n_id329,n_id3035,20 mph,None
l_329,n_id3035,n_id2319,20 mph,None
l_330,n_id352,n_id4077,20 mph,None
l_331,n_id4077,n_id4073,20 mph,None
l_332,n_id2090,n_id3260,20 mph,None
l_333,n_id3260,n_id350,20 mph,None
l_334,n_id350,n_id4159,20 mph,None
l_335,n_id4159,n_id4165,20 mph,None
l_336,n_id2064,n_id2377,20 mph,None
l_337,n_id2377,n_id3095,20 mph,None
l_338,n_id3095,n_id2065,20 mph,None
l_339,n_id2065,n_id380,20 mph,None
l_340,n_id3252,n_id8832,60 mph,circular
l_341,n_id8832,n_id8833,60 mph,circular
l_342,n_id8833,n_id8891,60 mph,circular
l_343,n_id8891,n_id8834,60 mph,circular
l_344,n_id8834,n_id8831,60 mph,circular
l_345,n_id8831,n_id3253,60 mph,circular
l_346,n_id2691,n_id9279,70 mph,None
l_347,n_id9279,n_id9280,70 mph,None
l_348,n_id9280,n_id4811,70 mph,None
l_349,n_id4811,n_id9281,70 mph,None
